Departament,semester,code,name,cred,class,vacancies,occupied,day,start,length,prof,campus,building,room
DELET,2025 - I,ENG04032,ANÁLISE DE CIRCUITOS III,6,A,8,8,Sex,8:30,2,Leyla Turra Kräulich,centro,Eletro,110
DELET,2025 - I,ENG04032,ANÁLISE DE CIRCUITOS III,6,B,8,7,Seg,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,304
DELET,2025 - I,ENG04032,ANÁLISE DE CIRCUITOS III,6,B,8,7,Qua,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,304
DELET,2025 - I,ENG04032,ANÁLISE DE CIRCUITOS III,6,B,8,7,Sex,13:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,110
DELET,2025 - I,ENG04032,ANÁLISE DE CIRCUITOS III,6,C,8,3,Seg,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,304
DELET,2025 - I,ENG04032,ANÁLISE DE CIRCUITOS III,6,C,8,3,Qua,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,304
DELET,2025 - I,ENG04032,ANÁLISE DE CIRCUITOS III,6,C,8,3,Sex,15:30,2,Leyla Turra Kräulich,centro,Eletro,110
DELET,2025 - I,ENG04444,ANÁLISE DE SISTEMAS DE POTÊNCIA,4,U,25,17,Ter,8:30,2,Leyla Turra Kräulich,centro,Eletro,303
DELET,2025 - I,ENG04444,ANÁLISE DE SISTEMAS DE POTÊNCIA,4,U,25,17,Qui,8:30,2,Leyla Turra Kräulich,centro,Eletro,303
DELET,2025 - I,ENG04436,ANTENAS E PROPAGAÇÃO,4,U,10,7,Seg,17:30,2,Carlos Alberto Ramirez Behaine,centro,Eletro,304
DELET,2025 - I,ENG04436,ANTENAS E PROPAGAÇÃO,4,U,10,7,Qua,17:30,2,Carlos Alberto Ramirez Behaine,centro,Eletro,304
DELET,2025 - I,ENG04460,APLICAÇÕES INDUSTRIAIS DA ELETRÔNICA,4,A,8,8,Seg,10:30,2,FAUSTO BASTOS LIBANO,centro,Eng. nova,undef
DELET,2025 - I,ENG04460,APLICAÇÕES INDUSTRIAIS DA ELETRÔNICA,4,A,8,8,Ter,10:30,2,FAUSTO BASTOS LIBANO,centro,Eletro,110
DELET,2025 - I,ENG04460,APLICAÇÕES INDUSTRIAIS DA ELETRÔNICA,4,B,8,8,Seg,10:30,2,FAUSTO BASTOS LIBANO,centro,Eng. nova,undef
DELET,2025 - I,ENG04460,APLICAÇÕES INDUSTRIAIS DA ELETRÔNICA,4,B,8,8,Ter,13:30,2,FAUSTO BASTOS LIBANO,centro,Eletro,110
DELET,2025 - I,ENG04460,APLICAÇÕES INDUSTRIAIS DA ELETRÔNICA,4,C,8,8,Seg,10:30,2,FAUSTO BASTOS LIBANO,centro,Eng. nova,undef
DELET,2025 - I,ENG04460,APLICAÇÕES INDUSTRIAIS DA ELETRÔNICA,4,C,8,8,Ter,15:30,2,FAUSTO BASTOS LIBANO,centro,Eletro,110
DELET,2025 - I,ENG04079,APRENDIZAGEM AUTÔNOMA I,4,A,18,1,Ter,15:30,2,ALBERTO BASTOS DO CANTO FILHO,centro,Eletro,306
DELET,2025 - I,ENG04079,APRENDIZAGEM AUTÔNOMA I,4,A,18,1,Sáb,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,306
DELET,2025 - I,ENG04079,APRENDIZAGEM AUTÔNOMA I,4,B,18,2,Ter,15:30,2,ALBERTO BASTOS DO CANTO FILHO,centro,Eletro,304
DELET,2025 - I,ENG04079,APRENDIZAGEM AUTÔNOMA I,4,B,18,2,Sáb,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,306
DELET,2025 - I,ENG04079,APRENDIZAGEM AUTÔNOMA I,4,C,17,3,Ter,15:30,2,ALBERTO BASTOS DO CANTO FILHO,undef,undef,undef
DELET,2025 - I,ENG04079,APRENDIZAGEM AUTÔNOMA I,4,C,17,3,Sáb,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,306
DELET,2025 - I,ENG04079,APRENDIZAGEM AUTÔNOMA I,4,D,17,11,Ter,15:30,2,ALBERTO BASTOS DO CANTO FILHO,undef,undef,undef
DELET,2025 - I,ENG04079,APRENDIZAGEM AUTÔNOMA I,4,D,17,11,Sáb,8:30,2,ROBERTO PETRY HOMRICH,centro,Eletro,306
DELET,2025 - I,ENG04077,CIRCUITOS ELETRÔNICOS I,6,A,9,9,Ter,10:30,2,HAMILTON DUARTE KLIMACH,centro,Eletro,303
DELET,2025 - I,ENG04077,CIRCUITOS ELETRÔNICOS I,6,A,9,9,Ter,13:30,2,HAMILTON DUARTE KLIMACH,centro,Eletro,202
DELET,2025 - I,ENG04077,CIRCUITOS ELETRÔNICOS I,6,A,9,9,Qui,10:30,2,HAMILTON DUARTE KLIMACH,centro,Eletro,303
DELET,2025 - I,ENG04077,CIRCUITOS ELETRÔNICOS I,6,B,8,8,Ter,10:30,2,HAMILTON DUARTE KLIMACH,centro,Eletro,303
