Departament,semester,Atividades de Ensino.1,Atividades de Ensino.2,Créditos,Turmas,Vagas Oferecidas,Horários Locais.1,Horários Locais.2.1,Horários Locais.2.2,Professores
DELAE,2019 - II,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,B,16,Seg,13:30,2 ,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10045,LABORATÓRIO DE ELETRÔNICA,2,B,16,centro,Eletro,200,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10050,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELÉTRICOS,2,B,12,Seg,17:30,2 ,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10050,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELÉTRICOS,2,B,12,centro,Eletro,110,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10050,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELÉTRICOS,2,C,12,Seg,19:30,2 ,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10050,LABORATÓRIO DE MÁQUINAS E ACIONAMENTOS ELÉTRICOS,2,C,12,centro,Eletro,110,THALES EXENBERGER BECKER
DELAE,2019 - II,ENG10052,LABORATÓRIO DE ROBÓTICA,2,C,11,Qua,17:30,2 ,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - II,ENG10052,LABORATÓRIO DE ROBÓTICA,2,C,11,centro,Eng. nova,undef,RENATO VENTURA BAYAN HENRIQUES
DELAE,2019 - II,ENG10043,LABORATÓRIO DE SISTEMAS DIGITAIS,2,A,14,Ter,8:30,2 ,MARCELO GOTZ
DELAE,2019 - II,ENG10043,LABORATÓRIO DE SISTEMAS DIGITAIS,2,A,14,centro,Eletro,305,MARCELO GOTZ
DELAE,2019 - II,ENG10043,LABORATÓRIO DE SISTEMAS DIGITAIS,2,B,14,Qui,8:30,2 ,MARCELO GOTZ
DELAE,2019 - II,ENG10043,LABORATÓRIO DE SISTEMAS DIGITAIS,2,B,14,centro,Eletro,305,MARCELO GOTZ
DELAE,2019 - II,ENG10032,MICROCONTROLADORES,2,A,20,Qua,8:30,2 ,WALTER FETTER LAGES
DELAE,2019 - II,ENG10032,MICROCONTROLADORES,2,A,20,centro,Eletro,301,WALTER FETTER LAGES
DELAE,2019 - II,ENG10032,MICROCONTROLADORES,2,B,20,Qua,10:30,2 ,WALTER FETTER LAGES
DELAE,2019 - II,ENG10032,MICROCONTROLADORES,2,B,20,centro,Eletro,301,WALTER FETTER LAGES
DELAE,2019 - II,ENG10007,PRODUÇÃO DE ENERGIA ELÉTRICA,4,U,15,Ter,10:30,2 ,SERGIO LUIS HAFFNER
DELAE,2019 - II,ENG10007,PRODUÇÃO DE ENERGIA ELÉTRICA,4,U,15,centro,Eletro,305,SERGIO LUIS HAFFNER
DELAE,2019 - II,ENG10007,PRODUÇÃO DE ENERGIA ELÉTRICA,4,U,15,Qui,10:30,2 ,SERGIO LUIS HAFFNER
DELAE,2019 - II,ENG10007,PRODUÇÃO DE ENERGIA ELÉTRICA,4,U,15,centro,Eletro,304,SERGIO LUIS HAFFNER
DELAE,2019 - II,ENG10014,QUALIDADE DE ENERGIA ELÉTRICA,4,U,21,Ter,8:30,2 ,ROBERTO CHOUHY LEBORGNE
DELAE,2019 - II,ENG10014,QUALIDADE DE ENERGIA ELÉTRICA,4,U,21,centro,Eletro,301,ROBERTO CHOUHY LEBORGNE
DELAE,2019 - II,ENG10014,QUALIDADE DE ENERGIA ELÉTRICA,4,U,21,Qui,8:30,2 ,ROBERTO CHOUHY LEBORGNE
DELAE,2019 - II,ENG10014,QUALIDADE DE ENERGIA ELÉTRICA,4,U,21,centro,Eletro,301,ROBERTO CHOUHY LEBORGNE
DELAE,2019 - II,ENG10026,ROBÓTICA A,4,U,20,Ter,17:30,2 ,WALTER FETTER LAGES
DELAE,2019 - II,ENG10026,ROBÓTICA A,4,U,20,centro,Eletro,301,WALTER FETTER LAGES
DELAE,2019 - II,ENG10026,ROBÓTICA A,4,U,20,Qui,17:30,2 ,WALTER FETTER LAGES
DELAE,2019 - II,ENG10026,ROBÓTICA A,4,U,20,centro,Eletro,301,WALTER FETTER LAGES
DELAE,2019 - II,ENG10021,SISTEMAS A EVENTOS DISCRETOS,4,U,30,Ter,13:30,2 ,MARCELO GOTZ
DELAE,2019 - II,ENG10021,SISTEMAS A EVENTOS DISCRETOS,4,U,30,centro,Eletro,303,MARCELO GOTZ
DELAE,2019 - II,ENG10021,SISTEMAS A EVENTOS DISCRETOS,4,U,30,Qui,13:30,2 ,MARCELO GOTZ
DELAE,2019 - II,ENG10021,SISTEMAS A EVENTOS DISCRETOS,4,U,30,centro,Eletro,303,MARCELO GOTZ
